Name,State,FR Ld,RF Ld,IR Ld,MAR Ld,MDR Ld,R/W,MOV,MA 1,MA 0,MB 1,MB 0,MC 1,MC 0,MD,ME,OP 4,OP 3,OP 2,OP 1,OP0 ,DT 1,DT 0
LDRSH Imm + PRE,259,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,260,,,,,,1,1,,,,,,,,,,,,,,,
,261,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,262,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R + PRE,263,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,264,,,,,,1,1,,,,,,,,,,,,,,,
,265,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,266,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH Imm + POS,267,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,268,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,269,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,270,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRSH R + POS,271,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,272,,1,,,,1,1,0,0,,,1,0,1,,0,0,1,0,0,,
,273,,,,,1,1,1,,,,,,,,0,,,,,,0,1
,274,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
STRD Imm + OFF,275,,,,1,,,,0,0,0,1,,,1,,0,0,1,0,0,,
,276,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,277,,,,,,0,1,,,,,,,,,,,,,,,
,278,,,,,,0,1,,,,,,,,,,,,,,,
STRD R + OFF,279,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,280,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,281,,,,,,0,1,,,,,,,,,,,,,,,
,282,,,,,,0,1,,,,,,,,,,,,,,,
STRD Imm + PRE,283,,1,,1,,,,0,0,0,1,1,0,1,,0,0,1,0,0,,
,284,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,285,,,,,,0,1,,,,,,,,,,,,,,,
,286,,,,,,0,1,,,,,,,,,,,,,,,
STRD R + PRE,287,,1,,1,,,,0,0,0,0,1,0,1,,0,0,1,0,0,,
,288,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,289,,,,,,0,1,,,,,,,,,,,,,,,
,290,,,,,,0,1,,,,,,,,,,,,,,,
STRD Imm + POS,291,,,,1,,,,0,0,0,1,,,1,,1,0,0,0,0,,
,292,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,293,,1,,,,0,1,,,,,1,0,1,,0,0,1,0,0,,
,294,,,,,,0,1,,,,,,,,,,,,,,,
STRD R + POS,295,,,,1,,,,0,0,0,0,,,1,,0,0,1,0,0,,
,296,,,,,1,,,0,1,,,,,1,1,1,0,0,0,0,1,1
,297,,1,,,,0,1,,,,,1,0,1,,0,0,1,0,0,,
,298,,,,,,0,1,,,,,,,,,,,,,,,
LDRD Imm - OFF,299,,,,1,,,,0,0,0,1,,,1,,0,0,0,1,0,,
,300,,,,,,1,1,,,,,,,,,,,,,,,
,301,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,302,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R - OFF,303,,,,1,,,,0,0,0,0,,,1,,0,0,0,1,0,,
,304,,,,,,1,1,,,,,,,,,,,,,,,
,305,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,306,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD Imm - PRE,307,,1,,1,,,,0,0,0,1,1,0,1,,0,0,0,1,0,,
,308,,,,,,1,1,,,,,,,,,,,,,,,
,309,,,,,1,1,1,,,,,,,,0,,,,,,1,1
,310,,1,,,,,,,,1,0,0,0,1,,0,1,1,0,1,,
LDRD R - PRE,311,,1,,1,,,,0,0,0,0,1,0,1,,0,0,0,1,0,,
,312,,,,,,1,1,,,,,,,,,,,,,,,
,313,,,,,1,1,1,,,,,,,,0,,,,,,1,1
